from, AED, AZN, BOV, BTN, BZD, CAD, CHE, CHF, CHW, DKK, DZD, ERN, ETB, FKP, GIP, GMD, GTQ, HKD, HRK, HUF, INR, IRR, ISK, KES, KGS, KRW, KYD, LKR, MGA, MNT, NGN, NOK, NZD, OMR, PHP, RUB, SEK, SGD, SHP, SZL, TMT, TRY, TWD, UGX, UZS, VED, VND, VUV, XAG, YER, ZAR, 
DZD, x, x, x, x, 0.9393280495343035, 0.9467009114328947, 0.9997788423612858, x, 1.052362029426868, 1.0658876799874428, x, 0.9962072594192728, x, x, 1.0665386853249597, 0.9753398850980614, 0.9512124363635444, 0.9677191496837466, x, 0.9613200418904447, x, 0.9670492522674005, x, 0.9900116046213313, 1.0271333395601772, x, 0.9630145450940999, x, 0.9626078662379706, 1.067900968330011, 1.0258485926165926, x, x, x, x, x, x, x, x, x, x, 1.0558615103803979, 0.994450039440339, x, x, 1.0022075288842625, x, x, x, x, 0.990158092956779, 
ERN, x, x, x, x, x, 0.9850960894362324, 0.948718959497509, x, 0.9681168272422226, 0.9822213475152091, 1.0024165721128748, x, x, 0.9388448786196063, 1.0267062420272897, 1.0106231088209063, 0.9586980637778748, x, x, 0.998658337703755, x, 0.9603535050269261, x, 0.9499773298617923, 0.9683756752570394, x, 0.9554583653007286, x, 1.0127544302507256, 1.0291913130064085, 0.9940432878479045, x, x, x, x, x, x, x, x, x, x, 0.9999209111743932, 0.9354343622438871, x, x, 0.9821104555085388, 1.0633943930826015, 0.9567780844584676, x, x, x, 
ETB, x, x, 1.0206472442452235, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9794900850455233, x, x, x, x, 0.9434929641815797, x, x, x, x, x, x, x, x, x, 1.001787896298664, 0.9972919562964806, x, 
FKP, x, x, x, x, 1.0102837953737573, x, 1.0341055414747347, x, 1.0311204457117433, x, x, 1.0636631128768608, x, x, 0.9774179992791474, 0.9364792415304263, 1.0384910765964237, 1.001651965067678, 0.9572014595682419, 1.048542311998706, x, 0.9673951774773438, x, x, 1.0426068991530015, x, 1.0282598232560642, x, 0.9951816456457476, 0.9541974030603269, 0.9870537386267084, x, x, x, x, x, x, x, x, x, x, 0.9780233206999734, 0.9525728995084415, x, x, 1.046821979711804, x, 1.0467118054883036, x, x, 1.0067027125675794, 
GIP, x, x, x, x, 0.9672833332072139, 0.9907681504772425, 0.951602244921422, x, 0.934946973066147, 0.9390788890458939, 0.9363135907224639, 0.9726391300876944, x, 1.021686388870999, x, 0.9348875464616947, 1.0187388970189553, 0.9614071145340413, 1.045342558838382, 0.99852866142313, x, 0.9756692107732308, x, 1.0505715391176436, 1.0639455303659497, x, 0.9613657488435096, x, 0.9673959195777647, 0.9967297060978884, 1.035828491845045, x, x, x, x, x, x, x, x, x, x, 1.053057080675661, 0.9861536333254561, x, x, 1.0047583598387508, x, 1.0529924165259872, x, x, 0.994154203770546, 
GMD, x, x, x, x, 0.9754630557504744, x, 0.9556958510539837, x, 1.067526869443519, 0.9854348477637269, 1.0238632515275714, 0.9881177833605175, x, 1.0663500287193326, 1.0681655455573504, x, 0.9578659395832118, 1.0364625837932813, 1.0008441582786451, x, x, 1.060145003281, x, x, 1.065919014182733, x, 0.9437751872824426, x, 0.9698448843848045, 1.0572692669623556, 1.0276435566361366, x, x, x, x, x, x, x, x, x, x, 0.9554896237296726, x, x, x, 1.0363100956179694, 1.0480527625459881, 0.9768814720121184, x, x, 1.008173485181843, 
GTQ, x, x, x, x, 0.9502219838733497, x, 1.0302044888592283, x, 0.9729722690861087, 1.0027836787906796, 1.0498334840098411, 1.0416362604988034, x, 0.9616015858065082, 0.980245938407953, 1.0425411582497106, x, 1.0035374814411997, 0.9451139616541179, 1.0304748231834748, x, x, x, 0.9352006084465172, x, x, 1.0259720032757698, x, x, 1.0221079589372941, x, x, x, x, x, x, x, x, x, x, x, x, 1.063510177138166, x, x, 0.975268802126939, 0.9446984522141474, 1.0358055865626636, x, x, 1.0548028283515305, 
HKD, x, x, x, x, x, 1.0431240932080035, x, x, 1.0340689251018904, 0.9675297475223388, 1.0319261186754225, x, x, 0.9969677102700598, 1.0387011402396589, 0.9634835658478521, 0.9950945376418816, x, x, 0.982156169918201, x, 1.0617190267636363, x, 1.0483639182910562, 0.943884443016561, x, 1.056284335613406, x, 1.0171065465652773, 1.047516076602821, 1.063713471457867, x, x, x, x, x, x, x, x, x, x, 1.0094776910158987, 0.967783861485432, x, x, 1.0518906162109043, 1.0392703837094976, 1.0183097861168038, x, x, 0.9504799700750182, 
HRK, x, x, x, x, 0.9416340555784058, 0.99319101267263, 0.9698319238263042, x, 1.0378443198455873, 0.9864600885896033, x, x, x, 1.043264880259864, 0.9552989665040725, 0.9977723882792595, 1.0566076754947893, x, x, 0.9983897060140647, x, 0.9980143844753885, x, 0.9983268109905358, 1.04015713761206, x, 1.0270555391496463, x, 0.9764112083281419, 1.0043070592370356, x, x, x, x, x, x, x, x, x, x, x, 0.9363731149723228, x, x, x, 1.0288463471697518, 0.9523372011367286, x, x, x, 0.9747253951864497, 
HUF, x, x, x, x, 0.9508490253892299, 1.0115991411375382, 0.9409398664136888, x, 1.0642260186954602, 1.06023990072035, 1.038795221763237, 0.9999562697260141, x, 0.9523837566435386, 1.0000861314063598, x, 0.969082061622797, 1.0167575144227814, 1.0002253229231122, x, x, 0.9542903976316643, x, 0.9685426747312723, 1.0118939344941542, x, 1.0081545192742034, x, x, 0.9395123694134747, x, x, x, x, x, x, x, x, x, x, x, 1.0547580626572681, 0.9650950430687922, x, x, 1.0375924858187318, 1.045137414716456, 1.0004235860640056, x, x, 1.041097480675356, 
INR, x, 0.995188623036634, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0401255024091902, 0.9459873841092395, x, x, x, 1.0038471851113568, x, x, x, x, x, x, x, x, x, x, x, 
IRR, x, x, x, x, 0.9765738025948458, x, 1.0211957136424255, x, 0.9360218252528154, x, 1.0326409577998414, 1.039840705400487, x, 1.0322717017311327, 1.0235176585203642, 0.9419604516461961, x, 0.9405639730739649, 1.000601475925576, 1.0464473587697911, x, x, x, 1.0324740544279976, x, x, 1.021884000240724, x, 1.0352437103020933, 1.0666366946745238, 1.0276504681769656, x, x, x, x, x, x, x, x, x, x, x, 1.0561768067477766, x, x, 0.9657159720859191, 0.9901475692297084, 1.0635119036224687, x, x, 0.9493706564532931, 
ISK, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.059415278709216, x, x, x, x, x, x, 
KES, x, x, x, x, x, x, 1.0006925199767354, x, 0.9633615785558752, 0.9844712772424594, 1.0086898592294664, 1.051198417804678, x, x, 0.9505441837304557, x, 1.06780797305067, 0.9525458179912144, 1.000288337553719, 1.0310487004386257, x, 0.9672055794702491, x, x, 0.9800496232760357, x, 0.9382560354243963, x, 0.942877962483812, x, 1.0190071242544199, x, x, x, x, x, x, x, x, x, x, 1.0077677122493267, 0.9732358454606223, x, x, 0.9357309632921995, 0.964693920436806, 1.036781059679933, x, x, x, 
KGS, x, x, x, x, x, x, 1.0015590578412552, x, 1.0318688514378933, 1.0310750332256666, 0.9722346920689382, 1.0312265080759728, x, 0.9578055419662854, 0.938595668292859, 0.9368579158583562, x, 1.0579840291779314, 0.9600613503394283, 0.9868768178754193, x, x, x, 1.0189429620542432, x, x, 0.9614915488106525, x, x, 0.9740912042508783, 1.0471939936708237, x, x, x, x, x, x, x, x, x, x, 1.0195578817078932, x, x, x, 0.9731294039582219, 0.9501119326809243, x, x, x, 1.0672016271714153, 
KRW, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0518963279703362, x, x, x, x, 1.0037937316006484, x, x, x, x, x, x, x, x, x, x, x, x, x, 
KYD, x, x, x, x, 1.0575611436615193, 0.9655110777480945, 1.0203720599400805, x, 0.9428687310101905, 1.045691986557822, 1.0369673762336065, 1.04516816469205, x, 0.9711695852696435, 1.0387458335210387, 1.058106506250174, 0.9733352010704064, 0.9454032711004021, 0.9723083397494111, 0.9905373105106522, x, 0.9772289867203973, x, 1.0643306607128096, 1.0386099257308055, x, x, x, 0.9549141834624205, 0.999893403419551, 1.0419886248761812, x, x, x, x, x, x, x, x, x, x, 0.9434408124157317, 0.9986991878314287, x, x, 1.0296901046949616, 1.0154854069254853, 0.9769836494624178, x, x, 0.9527097117591439, 
LKR, x, 1.0565491871943875, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9573779029942739, x, x, x, x, x, x, x, x, x, x, 
MGA, x, x, x, x, 1.0146213369602495, x, x, x, 0.986648734991427, 1.0396379092058865, 1.0374054702085271, 0.9860383092610159, x, 1.0034496420530883, 1.032270909863761, 1.0296643124889748, x, 0.9818191314108687, 1.0227398636798781, x, x, 0.9646179505013601, x, 1.0591133803471136, x, x, 1.045763780029065, x, x, 1.0321435581915368, x, x, x, x, x, x, x, x, x, x, x, 0.939141675972469, 1.0610024639130329, x, x, 0.9918805515786545, 0.954567467011856, 0.9475244527296672, x, x, 0.9366187881279222, 
MNT, x, x, x, x, 1.0282691096718524, 0.9960536006017461, 1.0336714625357588, x, 1.0210552191091478, 1.0496905500926825, 0.9351191690205767, 0.970290609220106, x, 1.0465493438760638, 1.0018911446017997, 0.9445225519229862, 0.9770148616583598, 0.9533167923681101, 0.9943320191930831, 1.0629074173067576, x, 0.9362275562868655, x, x, 1.0251757348214743, x, 0.9987211263579208, x, 0.9675152823224947, x, 0.9355706275559232, x, x, x, x, x, x, x, x, x, x, 0.9346971930731524, 0.948071324980052, x, x, 1.0646560712957742, x, 0.9950963191390835, x, x, 1.0424233290372007, 
NGN, x, x, x, x, 1.0006998364609767, 1.0192374896865237, x, x, 0.9605686950711773, 0.9541355946568831, 0.9734522943136287, 1.004598771813068, x, 1.0117125613549727, 0.9640733711835539, 0.9717519850655902, x, 0.9388004315977899, x, x, x, 0.9717454494742306, x, 0.979987914050835, 0.9536100017156275, x, 0.9583738653765954, x, x, 1.067385653940207, x, x, x, x, x, x, x, x, x, x, x, 0.9404910776873934, 1.0073212421778388, x, x, 1.0470354136899447, 0.9672479422041215, 0.9575126052292657, x, x, 0.9991211672468169, 
NOK, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9489568450698441, x, x, x, 0.48632747370614277, x, x, x, x, x, x, 0.9416677049564954, x, x, x, x, x, x, x, 
NZD, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9493470407182466, x, x, x, x, x, 1.0523288506628876, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
OMR, 0.9995128868015786, x, x, x, x, x, x, x, x, x, x, x, 1.019525037922785, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
PHP, x, x, x, 0.9711502469108024, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9600905504076077, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9720008268607058, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
RUB, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0556321182246466, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9396779983534541, x, 1.0589218467348682, 0.9504415413906423, x, x, x, x, x, x, x, x, x, x, 
SEK, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.5140569133280333, x, x, 1.027380469753589, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
SGD, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9948405082273617, x, x, x, x, x, x, x, x, x, 1.0627200677794375, x, x, x, x, x, x, x, x, 1.016688054325875, x, x, x, x, x, x, 
SHP, x, x, x, x, x, x, x, x, x, x, x, x, 1.0584230132200974, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0560850527754393, x, 
SZL, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9947875343100678, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9430485065354035, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
TMT, 0.9387371854057527, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0430726079824735, x, x, x, x, x, x, x, 1.0506849949339356, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 
TRY, x, x, x, x, 0.9771290893018699, 0.9873768868228799, x, x, 0.9504810146211136, 1.0047971637480035, 0.9457818627570347, 0.9986936516090756, x, 1.021054043359946, 0.9483006044271591, 1.045133972468504, x, 0.989238964851281, 1.066470886587283, 0.9467713037293156, x, x, x, 0.9909175040666184, 0.9794585319944938, x, 1.0584815210018543, x, 1.0633269629600628, 1.0683830801050391, 1.0618013182608363, x, x, x, x, x, x, x, x, x, x, x, 1.031307160272043, x, x, 0.947480177762167, 0.9978135755646886, 1.044846246881039, x, x, 0.9914652096166516, 
TWD, x, x, x, x, x, 1.032937749254166, 0.9454627668806908, x, 0.9862145099091681, 0.9819918852437163, 1.004187869169409, 1.067541140679916, x, 1.0483341134482689, 1.0126359954011956, x, 0.9389798871396167, 1.031857117939821, x, 1.0347319398985322, x, 0.9454995221642905, x, 1.0260767426094906, x, x, 0.9999153681794982, x, 0.9411991961056202, 1.0533117496429294, 0.9913567035894268, x, x, x, x, x, x, x, x, x, x, 0.9682999445457255, x, x, x, 1.0627266469335748, 0.9588852538413507, 0.9403599422153573, x, x, 1.0472948567424671, 
UGX, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0604745823232458, x, x, x, x, x, x, x, x, x, x, x, x, 0.9360940987361269, x, x, x, x, x, x, 
UZS, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9426092734076236, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9822232707978162, x, x, x, x, x, 1.0667887634900322, x, x, x, x, 0.958571310145863, 0.9524582624425761, x, 
VED, x, x, x, x, 1.0249543275819593, 1.0593203034838032, x, x, x, 0.9705426484762893, 0.9964150510950228, 1.0168048415531268, x, 0.953948890503764, 0.9938854017211581, 0.9636253379405109, 1.0239378763302749, 0.9493521956667084, 0.9706159416788648, 0.9624343658513036, x, 1.034066635497443, x, 1.067202759420918, 1.0261889755248843, x, 0.9698205912125974, x, 1.0067892394015152, 0.9379692588289406, 0.9537544318407798, x, x, x, x, x, x, x, x, x, x, 1.0539689267796983, 0.9396721809719023, x, x, x, 1.0562516097624808, 0.9700408267998042, x, x, 1.0461094787952558, 
VND, x, x, x, x, 0.9848273821050463, 1.0529485281836077, 0.9477158680148079, x, 1.0287330101641021, 0.9610465480930421, x, 0.939082124747915, x, x, x, 0.9528286187377996, 1.0570724062906156, 0.9608805194050127, 1.0485935705431466, 0.955486476744258, x, 1.0085513484398165, x, 1.035162184549545, 1.051049494014084, x, 0.9833865255872709, x, 1.046143620656858, x, 1.0324288349742365, x, x, x, x, x, x, x, x, x, x, 1.0008028458982299, 1.0414329160872167, x, x, 0.9454325625364844, x, 0.9602756075634048, x, x, 1.0567603013746651, 
VUV, x, x, x, x, 0.9750930437733942, 1.0292134748387625, x, x, 0.9397679609634858, 0.9673058628575233, x, 1.0437265258497646, x, 0.9540493007386721, 0.9483588394640483, 1.0222475240974178, 0.9640946902158992, 0.9806590093856609, x, 0.9981918459458822, x, 0.9389783628181397, x, 0.9631876053072512, x, x, 1.022140612742612, x, 1.0539196779821132, 1.0035356848319863, 1.0429258692233319, x, x, x, x, x, x, x, x, x, x, 0.9557527426470491, 1.061949389026963, x, x, 1.02945632648833, 1.0399250571769758, x, x, x, 0.9354516095419486, 
XAG, x, x, x, x, x, x, x, x, x, x, x, x, 0.9968324330835306, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 1.0417739979606446, x, x, x, x, x, x, 
YER, x, x, x, x, x, x, x, 1.0305765663129338, x, x, x, x, 1.0013263014869391, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, x, 0.9455816683292926, x, x, x, x, x, 1.0484602900499649, x, x, x, x, x, x, 
ZAR, x, x, x, x, x, 0.9398737465959617, x, x, 1.0604175707990318, 1.0571579149149188, 1.0085406292231547, x, x, 0.9919658044370199, 1.0044866906095309, 0.9905186763773203, 0.9467311228788476, 1.0506425148782583, 1.02450871910443, 0.9591942009630371, x, 1.0518701618940953, x, x, 0.9357319560576628, x, 1.0481835692187111, x, 1.0661911534969544, 0.9579742109411211, 0.9994930533328769, x, x, x, x, x, x, x, x, x, x, 1.007211000865216, 0.9535181612627657, x, x, 0.9545986212179972, 0.9449774606426844, 1.067521457993972, x, x, x, 
